iter	MAE
0	302.815281
1	293.2767315
2	282.9461362
3	272.0467053
4	262.4685539
5	253.552055
6	244.9908919
7	237.35699
8	231.1311097
9	224.8638713
10	219.0879337
11	212.9157426
12	206.8054254
13	201.3108273
14	195.9213738
15	190.818833
16	185.4794654
17	180.9445546
18	177.2634618
19	173.1502663
20	169.6746814
21	166.9220847
22	163.4835753
23	160.2079997
24	157.9713728
25	155.4021656
26	153.3685732
27	151.310603
28	149.5048728
29	147.2268399
30	145.1451268
31	142.7598762
32	141.2797743
33	139.8245495
34	138.5154266
35	136.9707066
36	136.2798252
37	135.3884319
38	134.4917744
39	133.3184471
40	131.7800053
41	130.7725777
42	129.4014196
43	128.340108
44	127.4911245
45	126.5964922
46	125.7887229
47	125.2542527
48	124.1150266
49	123.2794763
50	122.479057
51	121.6363154
52	120.8367875
53	120.3867333
54	119.7800544
55	119.0151157
56	118.5064656
57	118.0465238
58	117.4326887
59	116.5940563
60	115.4219108
61	115.0701145
62	114.7180038
63	114.4013804
64	114.1863475
65	113.7761242
66	113.5262
67	113.0881573
68	112.6667955
69	112.2404776
70	111.4651413
71	111.0746279
72	110.5684579
73	110.1685842
74	109.7639639
75	109.0649602
76	108.5105839
77	107.8680006
78	107.1671662
79	106.6670141
80	106.2844826
81	105.933613
82	105.5973119
83	105.0563781
84	104.3624592
85	103.7015778
86	102.911136
87	102.5332839
88	102.2414795
89	101.4398557
90	101.0397317
91	100.7238139
92	100.2343046
93	100.006976
94	99.8732478
95	99.63606045
96	99.27550427
97	99.02540403
98	98.72087618
99	98.04900888
100	97.75030376
101	97.47061367
102	97.37236006
103	97.24472094
104	96.85284211
105	96.49114973
106	95.7364253
107	95.49230254
108	95.25356272
109	95.14759682
110	94.98849164
111	94.86034819
112	94.65721405
113	94.35545565
114	93.97533466
115	93.8125756
116	93.5170392
117	93.31697763
118	93.13117185
119	92.89422983
120	92.63222353
121	92.36497542
122	92.19378883
123	91.92380962
124	91.71778853
125	91.55410596
126	91.36523831
127	91.26190245
128	90.8396772
129	90.66151525
130	90.2682875
131	89.66652902
132	89.40995031
133	89.27029207
134	89.12623775
135	88.85244368
136	88.69666204
137	88.46741853
138	88.28623384
139	88.20545267
140	88.05430164
141	87.91071851
142	87.40714199
143	87.20684138
144	86.96331723
145	86.819521
146	86.55570517
147	86.44756001
148	85.88978398
149	85.78074921
150	85.49929158
151	85.4173046
152	85.04911802
153	84.7491909
154	84.57499394
155	84.36202416
156	84.31430515
157	84.25572435
158	84.10679968
159	84.0015496
160	83.73652644
161	83.71384077
162	83.58465649
163	83.42177395
164	83.34132137
165	83.27120078
166	83.0500703
167	82.96848798
168	82.92475367
169	82.75344782
170	82.69433712
171	82.56136738
172	82.39881679
173	82.33328635
174	82.18894063
175	81.99660605
176	81.92992154
177	81.87662817
178	81.62422069
179	81.34179621
180	80.93692623
181	80.74598167
182	80.56924097
183	80.41503012
184	80.2717582
185	80.09570356
186	79.96768471
187	79.65633252
188	79.52615612
189	79.42511206
190	79.38819739
191	79.30728008
192	79.25074741
193	79.06146137
194	79.0307451
195	78.98047694
196	78.92506334
197	78.84604569
198	78.77935599
199	78.73633702
200	78.60127898
201	78.48411814
202	78.33066949
203	78.27599882
204	78.04413598
205	77.91885817
206	77.72271862
207	77.61453879
208	77.33157362
209	77.28595172
210	77.21429052
211	77.19419935
212	77.10570897
213	77.01488604
214	76.95385198
215	76.76861596
216	76.64558604
217	76.46651071
218	76.33517174
219	76.2203347
220	76.18171525
221	76.15592125
222	76.05563731
223	75.98891312
224	75.88047793
225	75.76233963
226	75.64625691
227	75.55802128
228	75.49384801
229	75.41817051
230	75.1474158
231	74.93444439
232	74.87158629
233	74.72154707
234	74.56845343
235	74.47192937
236	74.37953978
237	74.27781952
238	74.23286521
239	74.14398551
240	73.8360886
241	73.62169015
242	73.36674333
243	73.30581365
244	73.22986639
245	73.16657104
246	73.09616304
247	73.05680918
248	73.03953502
249	72.83438628
250	72.77457618
251	72.70080984
252	72.57077251
253	72.36527428
254	72.29914706
255	72.19564538
256	72.10253841
257	72.07095861
258	72.0002582
259	71.88087987
260	71.83617035
261	71.81046737
262	71.68730174
263	71.63130446
264	71.54911766
265	71.50094816
266	71.46452946
267	71.36642483
268	71.33417839
269	71.2083841
270	71.13431289
271	70.95556917
272	70.93959142
273	70.86054733
274	70.73334543
275	70.68358841
276	70.56886194
277	70.53613223
278	70.47669745
279	70.46194294
280	70.44288464
281	70.35060797
282	70.26354833
283	70.24326255
284	70.2295123
285	70.16081738
286	70.14484355
287	70.1306529
288	70.07431046
289	69.96148926
290	69.94986732
291	69.92962205
292	69.88466467
293	69.84032554
294	69.79316804
295	69.73878461
296	69.5867073
297	69.55831176
298	69.451092
299	69.41976697
300	69.34106942
301	69.31291308
302	69.19045922
303	68.95837733
304	68.78015156
305	68.72419584
306	68.69116923
307	68.67184427
308	68.628443
309	68.59753625
310	68.55424213
311	68.48489913
312	68.46441658
313	68.40366856
314	68.37998609
315	68.30613526
316	68.26826034
317	68.22008059
318	68.19355103
319	68.15576873
320	68.13214188
321	68.06195986
322	68.04121539
323	68.00417661
324	67.94850907
325	67.92359795
326	67.88048174
327	67.86399782
328	67.82751567
329	67.81562144
330	67.80164644
331	67.79093737
332	67.76909679
333	67.72711473
334	67.70016592
335	67.68443245
336	67.58309724
337	67.55159059
338	67.50378096
339	67.41655709
340	67.4020353
341	67.3894368
342	67.35203206
343	67.32240996
344	67.31257217
345	67.29346915
346	67.28160916
347	67.27384243
348	67.19787499
349	67.16172049
350	67.11770818
351	66.9442301
352	66.90849105
353	66.89245498
354	66.87008184
355	66.84311325
356	66.77686519
357	66.76649546
358	66.75913754
359	66.73854376
360	66.70800123
361	66.69214508
362	66.6719153
363	66.62206933
364	66.54619566
365	66.50395975
366	66.47062923
367	66.44218894
368	66.42902939
369	66.36353669
370	66.32814203
371	66.30418875
372	66.27847977
373	66.2671109
374	66.24278187
375	66.17226862
376	66.1289079
377	66.08116971
378	66.03049413
379	65.96723816
380	65.91828348
381	65.88401443
382	65.85061153
383	65.82655154
384	65.80362514
385	65.79232877
386	65.73888592
387	65.68767007
388	65.65801212
389	65.65228584
390	65.61344331
391	65.56576385
392	65.51829776
393	65.50304028
394	65.47406379
395	65.45756638
396	65.3928832
397	65.36363424
398	65.3483593
399	65.31393177
400	65.22405506
401	65.21508576
402	65.19391479
403	65.05249383
404	65.0458435
405	64.96034358
406	64.94090369
407	64.90640409
408	64.80940008
409	64.80701622
410	64.76701142
411	64.64512848
412	64.62906908
413	64.56098231
414	64.5527809
415	64.50817058
416	64.47699968
417	64.45195046
418	64.43989849
419	64.32969672
420	64.27274477
421	64.25738828
422	64.1980843
423	64.15232316
424	64.13682987
425	64.11440699
426	64.06104381
427	64.02933084
428	63.93465078
429	63.88135403
430	63.87110449
431	63.86689519
432	63.85240693
433	63.82109464
434	63.80951216
435	63.76565956
436	63.75202251
437	63.7083303
438	63.68235674
439	63.67342387
440	63.66905266
441	63.6483219
442	63.63484443
443	63.60784424
444	63.59086683
445	63.45856713
446	63.44894778
447	63.42321258
448	63.41441918
449	63.3969839
450	63.39358783
451	63.32285233
452	63.31424258
453	63.29073376
454	63.27017673
455	63.24652109
456	63.24166129
457	63.23234946
458	63.22232178
459	63.11868584
460	63.09693594
461	63.08262558
462	63.07201876
463	63.06083077
464	63.05116244
465	63.04349564
466	63.03567502
467	63.02580152
468	62.95940271
469	62.94726749
470	62.93479648
471	62.93198356
472	62.92770189
473	62.90950324
474	62.89377188
475	62.89173127
476	62.87691993
477	62.85203972
478	62.83667476
479	62.81369722
480	62.78687395
481	62.76444844
482	62.74009694
483	62.73823172
484	62.73682817
485	62.71637593
486	62.68389059
487	62.67361203
488	62.65040464
489	62.60050186
490	62.55456776
491	62.50658009
492	62.4974337
493	62.43853065
494	62.42148915
495	62.37859002
496	62.35680959
497	62.32758748
498	62.30539488
499	62.28751814
